domain,capability,weight,gitea_1_26_4_behavior,ironforge_behavior,code_evidence,test_evidence,status,earned_score,task_id,next_acceptance
Issue/PR/Wiki,Board/Time Tracking,1,"看板与工时追踪 Web/API 闭环","服务、API、Web 和集成测试已实现","crates/rg-core/src/board/service.rs;crates/rg-core/src/time_tracking/service.rs;web/src/routes/[owner]/[repo]/boards/+page.svelte;web/src/routes/[owner]/[repo]/time_tracking/+page.svelte","crates/rg-http/tests/board_tests.rs;crates/rg-http/tests/time_tracking_tests.rs",DONE,1,-,"保持回归"
Issue/PR/Wiki,Markdown Template/YAML Issue Form,1,"支持模板选择、预填充和 YAML 表单校验","Markdown Issue/PR Template 已支持兼容目录、front matter、chooser config、权限和 Web 预填；YAML Issue Form 未实现","crates/rg-core/src/issue_template.rs;crates/rg-http/src/api/issues.rs;web/src/routes/[owner]/[repo]/issues/+page.svelte;web/src/routes/[owner]/[repo]/pulls/+page.svelte","cargo test -p rg-core issue_template --lib;cargo test -p rg-http --test issue_template_tests;npm run check;Playwright desktop/mobile template flow",PARTIAL,0.5,"ISSUE-102","实现 YAML Issue Form schema、控件、校验和提交正文"
Issue/PR/Wiki,Issue/PR/评论附件与 Reaction,0.8,"附件生命周期、配额和 Reaction","Issue、PR、Issue Comment、Review Comment 附件已完成流式上传/下载、权限、配额、统一 Web 面板和错误目标隔离；Reaction 未实现","crates/rg-core/src/attachment.rs;crates/rg-http/src/api/attachments.rs;web/src/lib/components/AttachmentPanel.svelte","cargo test -p rg-http --test attachment_tests;cargo test -p rg-core attachment --lib;Playwright desktop/mobile Issue/PR attachment flow",PARTIAL,0.4,ISSUE-104,"实现 Reaction 唯一性、计数、通知策略与 Web/API 闭环"
Issue/PR/Wiki,多 Assignee,0.4,"一个 Issue/PR 可分配多人","当前 issue 表仅有单个 assignee_id","crates/rg-db/src/entities/issue.rs;crates/rg-core/src/issue/service.rs","无",MISSING,0,ISSUE-105,"多对多模型、筛选、API 与 UI"
Issue/PR/Wiki,Lock/Pin/Dependency,0.5,"讨论锁定、置顶和依赖关系","未实现","无","无",MISSING,0,"ISSUE-106;ISSUE-107","Web/API 与排序、自动引用闭环"
Issue/PR/Wiki,PR 不可变事件流,0.3,"审查、Draft、Queue 等状态变更可追溯","append-only PR event 已实现","crates/rg-db/src/entities/pr_event.rs;crates/rg-http/src/api/reviews.rs","crates/rg-http/tests/pr_permission_tests.rs",DONE,0.3,-,"保持事件完整性回归"
CI/Actions,原生 Pipeline/Runner/Artifact/实时日志,4,"独立 Runner、日志与 Artifact 生命周期","内置/Docker/外部 Runner、Artifact、WebSocket 和日志写队列已实现","crates/rg-ci/src;crates/rg-runner/src;crates/rg-http/src/api/artifacts.rs;crates/rg-core/src/ci/log_write_queue.rs","crates/rg-http/tests/artifact_file_tests.rs;crates/rg-http/tests/job_websocket_tests.rs;crates/rg-http/tests/runner_auth_tests.rs",DONE,4,-,"保持三类 Runner 回归"
CI/Actions,Secrets/Variables/Cache/Matrix/Environment/OIDC,4,"CI 治理与部署身份能力","主要能力已实现；跨仓库复用与 outputs 仍缺","crates/rg-ci/src;crates/rg-http/src/api/ci_secrets.rs;crates/rg-http/src/api/ci_oidc.rs","crates/rg-http/tests/ci_secrets_tag_protection_tests.rs;crates/rg-http/tests/ci_oidc_tests.rs;crates/rg-http/tests/runner_workspace_tests.rs",PARTIAL,3.5,"CI-202;CI-205","补 outputs 与跨仓库语义"
CI/Actions,Gitea Actions YAML 有限适配,2.5,"Gitea Actions 可运行常见 workflow 与 action","事件、Matrix、静态条件、本地 reusable 和 fail closed 已有；ADR-0001 已冻结隔离执行边界；第三方 uses runtime 仍未实现","crates/rg-ci/src/gitea_actions.rs;crates/rg-ci/src/condition.rs;ironforge-docs/ci/adr-0001-third-party-actions-execution.md","crates/rg-ci/src/gitea_actions.rs 单元测试",PARTIAL,1,"CI-206;CI-208","按 ADR 实现隔离执行，并用固定版本真实 Actions 回归"
CI/Actions,仅重跑失败 Job,0.5,"可精准重跑失败 Job 并重建依赖状态","只有整条 Pipeline retry","crates/rg-http/src/api/ci.rs::retry_pipeline","无",MISSING,0,CI-201,"失败 Job 与依赖 Stage 状态回归"
CI/Actions,Step/Job outputs 与运行时条件,1,"支持 outputs、needs outputs、always/failure/cancelled","outputs 未实现；运行时函数被显式拒绝","crates/rg-ci/src/condition.rs;crates/rg-ci/src/gitea_actions.rs","crates/rg-ci/src/condition.rs 单元测试",MISSING,0,"CI-202;CI-203","运行态上下文与失败路径测试"
CI/Actions,Service Containers,0.5,"Job 可声明隔离的服务容器和健康检查","未实现","无","无",MISSING,0,CI-204,"网络、健康检查与凭证脱敏"
CI/Actions,Reusable Workflow 完整语义,0.5,"outputs、命名 Secret 和跨仓库调用","仅支持同 commit 本地调用和 secrets inherit","crates/rg-ci/src/gitea_actions.rs","本地 reusable 单元测试",MISSING,0,CI-205,"跨仓库权限和循环引用回归"
CI/Actions,第三方 uses Action 执行器,0.7,"可执行固定版本的官方/第三方 Action","除 checkout/cache 映射外显式拒绝","crates/rg-ci/src/gitea_actions.rs","unsupported_actions_are_rejected_instead_of_silently_skipped",MISSING,0,CI-206,"隔离执行与最小 Secret/网络权限"
CI/Actions,Workflow Graph 与兼容测试集,0.3,"依赖图、失败定位和版本化兼容声明","Pipeline 页面有 Stage/Job 视图；无 Actions 兼容测试集","web/src/routes/[owner]/[repo]/pipelines/+page.svelte","无",MISSING,0,"CI-207;CI-208","固定版本真实 Actions 回归"
Package Registry,主流原生协议适配,6,"原生支持常见包管理器 publish/install/search/yank","Cargo/npm/PyPI/Maven/NuGet/Helm/Composer/RubyGems 已有专用适配；部分协议语义仍非完整 Gitea 等价","crates/rg-core/src/package_registry/adapters;crates/rg-http/src/api/packages.rs","crates/rg-http/tests/package_format_e2e_tests.rs;crates/rg-http/tests/package_permission_tests.rs",PARTIAL,5.5,API-303,"真实客户端矩阵与响应 contract"
Package Registry,OCI Container Registry,2,"OCI Distribution API 与权限","Blob/Manifest/Tag/Upload 和权限已实现","crates/rg-core/src/package_registry/oci;crates/rg-http/src/oci.rs","crates/rg-http/tests/oci_permission_tests.rs",DONE,2,-,"保持 OCI 客户端回归"
Package Registry,Generic fallback 与 Package Web,1,"Generic 包和 Web 管理界面","Generic 与列表/详情/上传页已有；fallback 不计专用协议完成","crates/rg-core/src/package_registry/adapters/generic.rs;web/src/routes/[owner]/[repo]/packages","scripts/package-publish-contract-check.mjs;crates/rg-http/tests/package_permission_tests.rs",PARTIAL,0.7,-,"完善治理和真实客户端说明"
Package Registry,Cleanup/Retention/Quota,0.5,"包清理规则、保留策略和配额","未实现统一治理","无","无",MISSING,0,PKG-301,"管理员回收与存储一致性"
Package Registry,Terraform State/Go Package,0.5,"Terraform lock/unlock 与 Go 原生协议","未实现专用协议","无","无",MISSING,0,"PKG-302;PKG-303","真实 terraform/go 客户端回归"
Package Registry,Alpine/Debian/RPM,0.5,"Linux 发行版原生仓库协议","未实现","无","无",MISSING,0,PKG-304,"publish/install/search/yank 回归"
Package Registry,Arch/Chef/CRAN,0.15,"Gitea 1.26.4 官方支持的专用协议","原计划遗漏；当前未实现","无","无",MISSING,0,PKG-306,"补入 backlog 并按真实需求排序"
Package Registry,Conan/Conda/Pub/Swift/Vagrant,0.35,"Gitea 1.26.4 长尾包协议","未实现","无","无",MISSING,0,PKG-305,"逐协议真实客户端验收"
身份与权限,本地认证/PAT/密码重置/MFA,2,"本地账户、Token 与 MFA 生命周期","已实现并覆盖权限与安全测试","crates/rg-core/src/auth;crates/rg-http/src/api/users.rs;crates/rg-http/src/api/mfa.rs","crates/rg-http/tests/pat_api_tests.rs;crates/rg-http/tests/admin_sso_audit_tests.rs",DONE,2,-,"保持安全回归"
身份与权限,LDAP/OIDC SSO 登录,2,"外部身份登录与安全回调","LDAP、OIDC Discovery/PKCE 与账户绑定已实现","crates/rg-core/src/auth/ldap.rs;crates/rg-core/src/auth/sso.rs;crates/rg-http/src/api/sso.rs","crates/rg-http/tests/oauth_pkce_tests.rs;crates/rg-http/tests/admin_sso_audit_tests.rs",DONE,2,-,"保持 Provider 回归"
身份与权限,组织/团队/协作者权限,2,"组织、团队和仓库协作授权","主要模型、API 和统一 can_read/can_write 已实现","crates/rg-core/src/org;crates/rg-core/src/repo/service.rs;crates/rg-core/src/collaborator/service.rs","crates/rg-http/tests/org_tests.rs;crates/rg-http/tests/collaborator_tests.rs",DONE,2,-,"保持 IDOR 回归"
身份与权限,SSH Key/Deploy Key 自助管理,1,"用户和仓库 Key 生命周期","用户 SSH Key API/UI 与 Deploy Key 已实现","crates/rg-http/src/api/ssh_keys.rs;crates/rg-http/src/api/deploy_keys.rs;web/src/routes/settings/ssh-keys/+page.svelte","crates/rg-http/tests/ssh_key_tests.rs;crates/rg-http/tests/deploy_key_tests.rs",DONE,1,-,"保持唯一性和归属测试"
身份与权限,审计/登录事件/管理员解锁,1,"关键操作审计和认证事件治理","审计归档、登录事件查询与解锁已实现","crates/rg-core/src/audit;crates/rg-http/src/api/audit.rs;crates/rg-http/src/api/admin.rs","crates/rg-http/tests/admin_sso_audit_tests.rs",DONE,1,-,"保持归档与权限回归"
身份与权限,外部身份生命周期,1,"LDAP 同步、停用恢复、团队映射与代理/PAM/SMTP 源","只有登录时绑定；周期同步等未实现","crates/rg-core/src/auth/ldap.rs","无",MISSING,0,"AUTH-401;AUTH-402;AUTH-403","停用回收与可信代理边界"
身份与权限,用户 Block/Follow/Badge,0.4,"用户关系和屏蔽治理","未实现","无","无",MISSING,0,"USER-401;USER-402;USER-403","所有写路径统一限制"
身份与权限,仓库 Unit 级权限,0.6,"Code/Issues/PR/Wiki/Packages/Actions 可独立授权","当前主要是仓库级 read/write/admin","crates/rg-core/src/repo/service.rs","权限测试仅覆盖仓库级",MISSING,0,PERM-401,"统一授权层和全 handler 回归"
API/Webhook/集成,Gitea REST/OpenAPI 兼容,3,"高频端点、响应、分页、错误码和 scope 可迁移","REST/OpenAPI 广度较高；缺 Gitea contract 和结构兼容层","crates/rg-http/src/openapi.rs;crates/rg-http/src/api","scripts/openapi-interface-smoke.mjs;crates/rg-http/tests/openapi_docs_auth_tests.rs",PARTIAL,2,"API-301;API-302;API-303","Gitea 1.26.4 OpenAPI contract test"
API/Webhook/集成,Webhook 事件矩阵,1.5,"仓库、用户、组织和系统事件","仓库级主要事件已实现；用户/组织/系统矩阵不全","crates/rg-core/src/webhook/service.rs;crates/rg-http/src/api/webhooks.rs","scripts/webhooks-contract-check.mjs",PARTIAL,1,HOOK-301,"官方事件 payload contract"
API/Webhook/集成,GitHub/GitLab 导入,1,"导入仓库及主要协作数据","客户端、任务服务、API 与 Web 已实现","crates/rg-core/src/import;crates/rg-http/src/api/imports.rs;web/src/routes/imports/+page.svelte","scripts/imports-contract-check.mjs",DONE,1,-,"保持外部 API mock 回归"
API/Webhook/集成,Repo/Issue/Wiki/Code 搜索,1,"多域搜索和代码检索","FTS、代码索引、过滤、高亮和快捷入口已实现","crates/rg-core/src/search;crates/rg-http/src/api/search.rs;web/src/routes/search/+page.svelte","crates/rg-core/tests/multi_backend_smoke.rs;scripts/search-keyboard-hint-contract-check.mjs",DONE,1,-,"保持三数据库回归"
API/Webhook/集成,通知/邮件/WebSocket,0.75,"站内、邮件和实时通知","主要通知渠道及权限隔离已实现","crates/rg-core/src/notification;crates/rg-core/src/email;crates/rg-http/src/ws.rs","crates/rg-http/tests/notification_tests.rs;crates/rg-http/tests/job_websocket_tests.rs",DONE,0.75,-,"保持断连与隔离回归"
API/Webhook/集成,Git LFS,0.75,"LFS batch、上传下载和权限","签名 URL、权限和 BlobStorage 流式压缩发布已实现；legacy 布局可读","crates/rg-core/src/lfs/service.rs;crates/rg-core/src/blob_storage.rs;crates/rg-http/src/api/lfs.rs","crates/rg-http/tests/lfs_signed_url_tests.rs",DONE,0.75,-,"保持本地/后续对象存储协议兼容"
运维生产化,SQLite/PostgreSQL/MySQL,3,"多数据库运行与生产维护边界","首轮 migration/CRUD/FTS/并发 smoke 完成；长期压测和版本矩阵未完成","crates/rg-db/src;crates/rg-core/tests/multi_backend_smoke.rs","crates/rg-core/tests/multi_backend_smoke.rs;.github/workflows/regression.yml",PARTIAL,2.5,OPS-503,"长期压测、故障注入和版本矩阵"
运维生产化,TLS/配置/健康/指标/限流,2.5,"生产服务基础治理","TLS、配置校验、结构化 health、Prometheus 和 Token Bucket 已实现","crates/rg-cli/src/main.rs;crates/rg-http/src/metrics.rs;crates/rg-http/src/rate_limit.rs;crates/rg-http/src/lib.rs","crates/rg-http/src/metrics.rs 单元测试;scripts/backend-health-contract-check.mjs",PARTIAL,2,OPS-502,"升级演练和配置兼容矩阵"
运维生产化,本地存储与 Retention,1,"各类 Blob 有一致存储生命周期","稳定 BlobKey、原子本地 backend、legacy 兼容和 Artifact retention 已统一；通用配额/repair 尚缺","crates/rg-core/src/blob_storage.rs;crates/rg-core/src/lfs/service.rs;crates/rg-core/src/package_registry/storage.rs;crates/rg-core/src/package_registry/oci/storage.rs;crates/rg-http/src/api/artifacts.rs;ironforge-docs/storage/blob-storage-contract-2026-07.md","rg-core blob_storage/package/OCI 单元测试;crates/rg-http/tests/artifact_file_tests.rs;crates/rg-http/tests/lfs_signed_url_tests.rs;crates/rg-http/tests/release_tests.rs",PARTIAL,0.75,"STORAGE-002;PKG-301","一致性扫描修复、配额和迁移清理"
运维生产化,BlobStorage/S3/MinIO,1.5,"对象存储后端与迁移工具","统一 object-safe BlobStorage 与本地 backend 已实现；S3/MinIO、签名 URL 和迁移工具未实现","crates/rg-core/src/blob_storage.rs;ironforge-docs/storage/blob-storage-contract-2026-07.md","crates/rg-core/src/blob_storage.rs 单元测试",PARTIAL,0.25,STORAGE-002,"实现 S3/MinIO、签名 URL、迁移和校验"
运维生产化,持久化 Queue/Redis,1.25,"后台任务可恢复、重试和观测","主要任务仍为进程内后台任务；无统一持久化队列","crates/rg-cli/src/main.rs;crates/rg-core/src/audit/archiver.rs","无",MISSING,0,"QUEUE-001;QUEUE-002","mail/mirror/webhook/index/archive 迁移"
运维生产化,全实例 Backup/Restore,0.75,"数据库、仓库和 Blob 可一致恢复","无完整实例命令和恢复演练","无","无",MISSING,0,OPS-501,"新主机恢复并通过协议抽查"
运维生产化,升级/HA/故障恢复,1,"明确升级降级、RTO/RPO 和多节点边界","只有迁移与首轮 smoke；无完整生产矩阵","ironforge-docs/architecture/db-multi-backend-design-2026-07.md","无",MISSING,0,"OPS-502;OPS-504","演练报告与支持等级"
Web/Admin,核心仓库协作 Web,3,"仓库、Issue、PR、Wiki、CI 主路径可用","主要页面已实现；Issue/PR Markdown Template 已完成桌面/移动浏览器验收，仍有代码浏览等局部细节","web/src/routes/[owner]/[repo]","scripts/full-interface-regression.mjs;Playwright ISSUE-101 desktop/mobile flow",PARTIAL,2.8,"REPO-104","补代码浏览高频细节与持续浏览器 E2E"
Web/Admin,仓库设置/Package/Board/Time/Mirror,1.5,"仓库增强能力可在 Web 管理","主要页面已实现；Push Mirror、模板等仍缺","web/src/routes/[owner]/[repo]/settings;web/src/routes/[owner]/[repo]/packages;web/src/routes/[owner]/[repo]/boards;web/src/routes/[owner]/[repo]/time_tracking","相关 contract scripts",PARTIAL,1.3,"REPO-101;REPO-103;PKG-301","补缺失功能并统一交互"
Web/Admin,Admin Users/Orgs/Runners/Audit/Settings,1,"核心实例管理页面","主要管理页面已实现","web/src/routes/admin","crates/rg-http/tests/admin_user_tests.rs;crates/rg-http/tests/admin_org_tests.rs;crates/rg-http/tests/admin_settings_tests.rs",DONE,1,-,"保持权限回归"
Web/Admin,外部身份生命周期 UI,0.25,"管理员可管理同步、映射和停用状态","有 Provider 和登录事件设置；缺同步生命周期","web/src/routes/admin/settings/+page.svelte","scripts/admin-sso-settings-contract-check.mjs",PARTIAL,0.1,AUTH-401,"同步状态、映射和回收 UI"
Web/Admin,系统任务/Queue/配置管理页,0.25,"管理员可查看任务和队列状态","未实现统一任务/队列管理页","无","无",MISSING,0,ADMIN-401,"依赖 QUEUE-001"
